vcv_accession	rcv_accession	gene_symbols	review_stars	review_status	clinical_significance	conditions
VCV000000288	RCV000851599	VWF	1	criteria provided, single submitter	Pathogenic	{'name': 'Hereditary von Willebrand disease', 'database': 'MedGen', 'id': 'C5703318'}
VCV000000288	RCV000851989	VWF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'von Willebrand disease type 2', 'database': 'MedGen', 'id': 'C1264040'}
VCV000000288	RCV000851990	VWF	1	criteria provided, single submitter	Likely pathogenic	{'name': 'Abnormality of coagulation', 'database': 'MedGen', 'id': 'C1846821'}
VCV000000288	RCV005007800	VWF	1	criteria provided, single submitter	Pathogenic	{'name': 'von Willebrand disease type 1', 'database': 'MedGen', 'id': 'C1264039'};{'name': 'von Willebrand disease type 2', 'database': 'MedGen', 'id': 'C1264040'};{'name': 'von Willebrand disease type 3', 'database': 'MedGen', 'id': 'C1264041'}
VCV000000288	RCV006456589	VWF	1	criteria provided, single submitter	Pathogenic	{'name': 'von Willebrand disorder', 'database': 'MedGen', 'id': 'C0042974'}
VCV000000289	RCV000000313	VWF	3	reviewed by expert panel	Pathogenic	{'name': 'Von Willebrand disease type 2B', 'database': 'MedGen', 'id': 'C1282971'}
VCV000000289	RCV000086703	VWF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000000289	RCV000851770	VWF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Hereditary von Willebrand disease', 'database': 'MedGen', 'id': 'C5703318'}
VCV000000289	RCV002225253	VWF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'von Willebrand disease type 2', 'database': 'MedGen', 'id': 'C1264040'}
VCV000000290	RCV000000314	VWF	3	reviewed by expert panel	Pathogenic	{'name': 'Von Willebrand disease type 2B', 'database': 'MedGen', 'id': 'C1282971'}
VCV000000290	RCV000086715	VWF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000000290	RCV000678767	VWF	1	criteria provided, single submitter	Pathogenic	{'name': 'Hereditary von Willebrand disease', 'database': 'MedGen', 'id': 'C5703318'}
VCV000000290	RCV000851771	VWF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'von Willebrand disease type 2', 'database': 'MedGen', 'id': 'C1264040'}
VCV000000290	RCV002476901	VWF	1	criteria provided, single submitter	Pathogenic	{'name': 'von Willebrand disease type 1', 'database': 'MedGen', 'id': 'C1264039'};{'name': 'von Willebrand disease type 2', 'database': 'MedGen', 'id': 'C1264040'};{'name': 'von Willebrand disease type 3', 'database': 'MedGen', 'id': 'C1264041'}
VCV000000314	RCV000000342	VWF	0	no assertion criteria provided	Pathogenic	{'name': 'Von Willebrand disease type 2B', 'database': 'MedGen', 'id': 'C1282971'}
VCV000000314	RCV000086676	VWF	1	criteria provided, conflicting classifications	Conflicting classifications of pathogenicity	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000000314	RCV000314989	VWF	3	reviewed by expert panel	Likely benign	{'name': 'Hereditary von Willebrand disease', 'database': 'MedGen', 'id': 'C5703318'}
VCV000000314	RCV000853236	VWF	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	{'name': 'von Willebrand disease type 2', 'database': 'MedGen', 'id': 'C1264040'}
VCV000000314	RCV002247228	VWF	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'von Willebrand disease type 1', 'database': 'MedGen', 'id': 'C1264039'}
VCV000000314	RCV003313771	VWF	1	criteria provided, single submitter	Pathogenic	{'name': 'Thrombocytopenia', 'database': 'MedGen', 'id': 'C0040034'}
VCV000000314	RCV004547449	VWF	0	no assertion criteria provided	Likely pathogenic	{'name': 'VWF-related disorder'}
VCV000000314	RCV005357048	VWF	1	criteria provided, single submitter	Likely pathogenic	{'name': 'von Willebrand disease type 1', 'database': 'MedGen', 'id': 'C1264039'};{'name': 'von Willebrand disease type 3', 'database': 'MedGen', 'id': 'C1264041'}
VCV000000314	RCV006268064	VWF	1	criteria provided, single submitter	Uncertain significance	{'name': 'not specified', 'database': 'MedGen', 'id': 'CN169374'}
VCV000000582	RCV000000612	PAH	3	reviewed by expert panel	Pathogenic	{'name': 'Phenylketonuria', 'database': 'MedGen', 'id': 'C0031485'}
VCV000000582	RCV000078530	PAH	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000000582	RCV003904790	PAH	0	no assertion criteria provided	Pathogenic	{'name': 'PAH-related disorder'}
VCV000000728	RCV000000764	TPCN2	0	no assertion criteria provided	association	{'name': 'SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 10', 'database': 'MedGen', 'id': 'C2677088'}
VCV000001169	RCV000001228	F12	1	criteria provided, single submitter	Pathogenic	{'name': 'Hereditary angioedema type 3', 'database': 'MedGen', 'id': 'C1857728'}
VCV000001169	RCV000222890	F12	1	criteria provided, single submitter	Pathogenic	{'name': 'Hereditary angioneurotic edema', 'database': 'MedGen', 'id': 'C0019243'}
VCV000001169	RCV000255869	F12	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000001169	RCV000763138	F12	1	criteria provided, single submitter	Pathogenic	{'name': 'Factor XII deficiency disease', 'database': 'MedGen', 'id': 'C0015526'};{'name': 'Hereditary angioedema type 3', 'database': 'MedGen', 'id': 'C1857728'}
VCV000001534	RCV000385586	LPL	1	criteria provided, single submitter	Benign	{'name': 'Hyperlipoproteinemia, type I', 'database': 'MedGen', 'id': 'C0023817'}
VCV000001534	RCV001511819	LPL	2	criteria provided, multiple submitters, no conflicts	Benign	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000001534	RCV001804709	LPL	2	criteria provided, multiple submitters, no conflicts	Benign	{'name': 'not specified', 'database': 'MedGen', 'id': 'CN169374'}
VCV000001534	RCV002390085	LPL	1	criteria provided, single submitter	Benign	{'name': 'Cardiovascular phenotype', 'database': 'MedGen', 'id': 'CN230736'}
VCV000001534	RCV002504735	LPL	1	criteria provided, single submitter	Benign	{'name': 'Hyperlipidemia, familial combined, LPL related', 'database': 'MedGen', 'id': 'C0020474'};{'name': 'Hyperlipoproteinemia, type I', 'database': 'MedGen', 'id': 'C0023817'}
VCV000001534	RCV003974788	LPL	0	no assertion criteria provided	Benign	{'name': 'LPL-related disorder'}
VCV000001936	RCV000002013	LRRK2	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Autosomal dominant Parkinson disease 8', 'database': 'MedGen', 'id': 'C1846862'}
VCV000001936	RCV001659678	LRRK2	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000001937	RCV000002014	LRRK2	0	no assertion criteria provided	Pathogenic	{'name': 'Autosomal dominant Parkinson disease 8', 'database': 'MedGen', 'id': 'C1846862'}
VCV000001938	RCV000002015	LRRK2	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Autosomal dominant Parkinson disease 8', 'database': 'MedGen', 'id': 'C1846862'}
VCV000001938	RCV002472921	LRRK2	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000001939	RCV000002016	LRRK2	0	no assertion criteria provided	Pathogenic	{'name': 'Autosomal dominant Parkinson disease 8', 'database': 'MedGen', 'id': 'C1846862'}
VCV000001940	RCV000002017	LRRK2	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	{'name': 'Autosomal dominant Parkinson disease 8', 'database': 'MedGen', 'id': 'C1846862'}
VCV000001940	RCV000325492	LRRK2	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000001940	RCV000622347	LRRK2	1	criteria provided, single submitter	Pathogenic	{'name': 'Inborn genetic diseases', 'database': 'MedGen', 'id': 'C0950123'}
VCV000001940	RCV001195216	LRRK2	1	criteria provided, single submitter	risk factor	{'name': 'Young-onset Parkinson disease', 'database': 'MedGen', 'id': 'C4275179'}
VCV000001940	RCV001836691	LRRK2	1	criteria provided, single submitter	Pathogenic	{'name': 'Parkinson disease, late-onset', 'database': 'MedGen', 'id': 'C3160718'}
VCV000001940	RCV003407254	LRRK2	0	no assertion criteria provided	Pathogenic	{'name': 'LRRK2-related disorder'}
VCV000001940	RCV003993728	LRRK2	1	criteria provided, single submitter	Pathogenic	{'name': 'Parkinson disease', 'database': 'MedGen', 'id': 'C0030567'}
VCV000001941	RCV000002018	LRRK2	1	criteria provided, single submitter	Pathogenic	{'name': 'Autosomal dominant Parkinson disease 8', 'database': 'MedGen', 'id': 'C1846862'}
VCV000001941	RCV001311806	LRRK2	1	criteria provided, single submitter	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000001942	RCV000002019	LRRK2	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	{'name': 'Autosomal dominant Parkinson disease 8', 'database': 'MedGen', 'id': 'C1846862'}
VCV000001943	RCV000032508	LRRK2	1	criteria provided, conflicting classifications	Conflicting classifications of pathogenicity	{'name': 'Autosomal dominant Parkinson disease 8', 'database': 'MedGen', 'id': 'C1846862'}
VCV000001943	RCV001449818	LRRK2	1	criteria provided, single submitter	risk factor	{'name': 'Parkinson disease', 'database': 'MedGen', 'id': 'C0030567'}
VCV000001943	RCV003488320	LRRK2	1	criteria provided, single submitter	Uncertain significance	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000002192	RCV000002276	NPSR1	0	no assertion criteria provided	Benign	{'name': 'Asthma-related traits, susceptibility to, 2', 'database': 'MedGen', 'id': 'C1837811'}
VCV000002289	RCV000002379	SETX	0	no assertion criteria provided	Conflicting classifications of pathogenicity	{'name': 'Amyotrophic lateral sclerosis type 4', 'database': 'MedGen', 'id': 'C1865409'}
VCV000002289	RCV000644828	SETX	1	criteria provided, single submitter	Pathogenic	{'name': 'Amyotrophic lateral sclerosis type 4', 'database': 'MedGen', 'id': 'C1865409'};{'name': 'Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2', 'database': 'MedGen', 'id': 'C1853761'}
VCV000002289	RCV000724322	SETX	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000002289	RCV000789615	SETX	0	no assertion criteria provided	Uncertain significance	{'name': 'Distal spinal muscular atrophy', 'database': 'MedGen', 'id': 'C0393541'}
VCV000002289	RCV003233065	SETX	1	criteria provided, single submitter	Pathogenic	{'name': 'Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2', 'database': 'MedGen', 'id': 'C1853761'}
VCV000002436	RCV000002538	KIF21A	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Congenital fibrosis of extraocular muscles type 1', 'database': 'MedGen', 'id': 'C1851102'}
VCV000002436	RCV000002539	KIF21A	0	no assertion criteria provided	Pathogenic	{'name': 'Fibrosis of extraocular muscles, congenital, 3b', 'database': 'MedGen', 'id': 'C2751105'}
VCV000002436	RCV000267056	KIF21A	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000002436	RCV003398420	KIF21A	0	no assertion criteria provided	Pathogenic	{'name': 'KIF21A-related disorder'}
VCV000002436	RCV006713084	KIF21A	1	criteria provided, single submitter	Pathogenic	{'name': 'Inborn genetic diseases', 'database': 'MedGen', 'id': 'C0950123'}
VCV000002746	RCV000002869	BEST1	0	no assertion criteria provided	Pathogenic	{'name': 'Autosomal dominant vitreoretinochoroidopathy', 'database': 'MedGen', 'id': 'C3888099'}
VCV000002746	RCV003555902	BEST1	1	criteria provided, single submitter	Uncertain significance	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000002747	RCV000002870	BEST1	0	no assertion criteria provided	Pathogenic	{'name': 'Retinitis pigmentosa 50', 'database': 'MedGen', 'id': 'C2750789'}
VCV000002747	RCV001382239	BEST1	1	criteria provided, single submitter	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000002874	RCV000003008	PCSK9	0	no assertion criteria provided	Pathogenic	{'name': 'Hypercholesterolemia, autosomal dominant, 3', 'database': 'MedGen', 'id': 'C1863551'}
VCV000002875	RCV000003009	PCSK9	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Hypercholesterolemia, autosomal dominant, 3', 'database': 'MedGen', 'id': 'C1863551'}
VCV000002875	RCV000505195	PCSK9	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	{'name': 'Hypercholesterolemia, familial, 1', 'database': 'MedGen', 'id': 'C0745103'}
VCV000002875	RCV004017221	PCSK9	1	criteria provided, single submitter	Pathogenic	{'name': 'Homozygous familial hypercholesterolemia', 'database': 'MedGen', 'id': 'C0342881'}
VCV000002875	RCV004018541	PCSK9	1	criteria provided, single submitter	Pathogenic	{'name': 'Cardiovascular phenotype', 'database': 'MedGen', 'id': 'CN230736'}
VCV000002875	RCV005862692	PCSK9	1	criteria provided, single submitter	Pathogenic	{'name': 'Familial hypercholesterolemia', 'database': 'MedGen', 'id': 'C0020445'}
VCV000003143	RCV000003293	KCNQ1	0	no assertion criteria provided	Pathogenic	{'name': 'Atrial fibrillation, familial, 3', 'database': 'MedGen', 'id': 'C1837014'}
VCV000003143	RCV000057673	KCNQ1	0	no classification provided	not provided	{'name': 'Atrial fibrillation', 'database': 'MedGen', 'id': 'C0004238'}
VCV000003148	RCV000003298	KCNQ1	0	no assertion criteria provided	Pathogenic	{'name': 'Short QT syndrome type 2', 'database': 'MedGen', 'id': 'C1865019'}
VCV000003148	RCV000057800	KCNQ1	0	no classification provided	not provided	{'name': 'Short QT syndrome', 'database': 'MedGen', 'id': 'C2348199'}
VCV000003148	RCV003996077	KCNQ1	1	criteria provided, single submitter	Uncertain significance	{'name': 'Long QT syndrome', 'database': 'MedGen', 'id': 'C0023976'}
VCV000003770	RCV000003968	TRPM4	0	no assertion criteria provided	Pathogenic	{'name': 'Progressive familial heart block type IB', 'database': 'MedGen', 'id': 'C1970298'}
VCV000003770	RCV004532279	TRPM4	1	criteria provided, single submitter	Likely pathogenic	{'name': 'TRPM4-related disorder', 'database': 'MedGen', 'id': 'CN239424'}
VCV000004102	RCV000004318	TMC1	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	{'name': 'Autosomal dominant nonsyndromic hearing loss 36', 'database': 'MedGen', 'id': 'C1847626'}
VCV000004102	RCV000217542	TMC1	1	criteria provided, single submitter	Pathogenic	{'name': 'Rare genetic deafness', 'database': 'MedGen', 'id': 'C5680250'}
VCV000004102	RCV001810830	TMC1	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000004153	RCV000004370	GP1BA	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	{'name': 'Pseudo von Willebrand disease', 'database': 'MedGen', 'id': 'C1280798'}
VCV000004155	RCV000004372	GP1BA	1	criteria provided, single submitter	Pathogenic	{'name': 'Pseudo von Willebrand disease', 'database': 'MedGen', 'id': 'C1280798'}
VCV000004155	RCV000851872	GP1BA	1	criteria provided, single submitter	Likely pathogenic	{'name': 'Thrombocytopenia', 'database': 'MedGen', 'id': 'C0040034'}
VCV000004155	RCV000851873	GP1BA	1	criteria provided, single submitter	Likely pathogenic	{'name': 'Impaired ristocetin-induced platelet aggregation', 'database': 'MedGen', 'id': 'C4023154'}
VCV000004155	RCV001810831	GP1BA	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000004377	RCV000004626	NLRP3	0	no assertion criteria provided	Pathogenic	{'name': 'Chronic infantile neurological, cutaneous and articular syndrome', 'database': 'MedGen', 'id': 'C0409818'}
VCV000004377	RCV000004627	NLRP3	0	no assertion criteria provided	Pathogenic	{'name': 'Familial amyloid nephropathy with urticaria AND deafness', 'database': 'MedGen', 'id': 'C0268390'}
VCV000004377	RCV000084240	NLRP3	0	no classification provided	not provided	{'name': 'Familial cold autoinflammatory syndrome 1', 'database': 'MedGen', 'id': 'C4551895'}
VCV000004377	RCV000214348	NLRP3	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000004377	RCV000527671	NLRP3	1	criteria provided, single submitter	Pathogenic	{'name': 'Cryopyrin associated periodic syndrome', 'database': 'MedGen', 'id': 'C2316212'}
VCV000004634	RCV000004897	TBX20	0	no assertion criteria provided	Pathogenic	{'name': 'Atrial septal defect 4', 'database': 'MedGen', 'id': 'C1969657'}
VCV000004694	RCV000004958	NOD2	1	criteria provided, single submitter	Pathogenic	{'name': 'Blau syndrome', 'database': 'MedGen', 'id': 'C5201146'}
VCV000004694	RCV000482720	NOD2	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000004694	RCV002512784	NOD2	1	criteria provided, single submitter	Pathogenic	{'name': 'Blau syndrome', 'database': 'MedGen', 'id': 'C5201146'};{'name': 'Regional enteritis', 'database': 'MedGen', 'id': 'C0678202'}
VCV000004696	RCV000004960	NOD2	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Blau syndrome', 'database': 'MedGen', 'id': 'C5201146'}
VCV000004696	RCV001509512	NOD2	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000004696	RCV002512785	NOD2	1	criteria provided, single submitter	Pathogenic	{'name': 'Blau syndrome', 'database': 'MedGen', 'id': 'C5201146'};{'name': 'Regional enteritis', 'database': 'MedGen', 'id': 'C0678202'}
VCV000004696	RCV006659124	NOD2	1	criteria provided, single submitter	Pathogenic	{'name': 'Inborn genetic diseases', 'database': 'MedGen', 'id': 'C0950123'}
VCV000004699	RCV000416482	NOD2	0	no assertion criteria provided	Pathogenic	{'name': 'Blau syndrome', 'database': 'MedGen', 'id': 'C5201146'}
VCV000004699	RCV003764528	NOD2	1	criteria provided, single submitter	Pathogenic	{'name': 'Blau syndrome', 'database': 'MedGen', 'id': 'C5201146'};{'name': 'Regional enteritis', 'database': 'MedGen', 'id': 'C0678202'}
VCV000004701	RCV000004966	NOD2	0	no assertion criteria provided	Pathogenic	{'name': 'Blau syndrome', 'database': 'MedGen', 'id': 'C5201146'}
VCV000004701	RCV002512788	NOD2	1	criteria provided, single submitter	Pathogenic	{'name': 'Blau syndrome', 'database': 'MedGen', 'id': 'C5201146'};{'name': 'Regional enteritis', 'database': 'MedGen', 'id': 'C0678202'}
VCV000004800	RCV000005067	SPTLC1	1	criteria provided, single submitter	Pathogenic	{'name': 'Hereditary sensory and autonomic neuropathy type 1', 'database': 'MedGen', 'id': 'C0020071'}
VCV000004800	RCV001027483	SPTLC1	0	no assertion criteria provided	Uncertain significance	{'name': 'Charcot-Marie-Tooth disease', 'database': 'MedGen', 'id': 'C0007959'}
VCV000004800	RCV001249800	SPTLC1	1	criteria provided, single submitter	Pathogenic	{'name': 'Neuropathy, hereditary sensory and autonomic, type 1A', 'database': 'MedGen', 'id': 'C5235211'}
VCV000004800	RCV002512792	SPTLC1	1	criteria provided, single submitter	Pathogenic	{'name': 'Inborn genetic diseases', 'database': 'MedGen', 'id': 'C0950123'}
VCV000004800	RCV004998075	SPTLC1	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000004803	RCV000005070	SPTLC1	1	criteria provided, single submitter	Pathogenic	{'name': 'Hereditary sensory and autonomic neuropathy type 1', 'database': 'MedGen', 'id': 'C0020071'}
VCV000004803	RCV001004021	SPTLC1	0	no assertion criteria provided	Pathogenic	{'name': 'Sensorimotor neuropathy', 'database': 'MedGen', 'id': 'C1112256'}
VCV000004803	RCV001174071	SPTLC1	1	criteria provided, single submitter	Pathogenic	{'name': 'Charcot-Marie-Tooth disease', 'database': 'MedGen', 'id': 'C0007959'}
VCV000004803	RCV001249798	SPTLC1	0	no assertion criteria provided	Pathogenic	{'name': 'Neuropathy, hereditary sensory and autonomic, type 1A', 'database': 'MedGen', 'id': 'C5235211'}
VCV000004803	RCV004597725	SPTLC1	1	criteria provided, single submitter	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000004992	RCV000005280	TRPV4	0	no assertion criteria provided	Pathogenic	{'name': 'Brachyrachia (short spine dysplasia)', 'database': 'MedGen', 'id': 'C0432227'}
VCV000004992	RCV000202519	TRPV4	0	no classification provided	not provided	{'name': 'Skeletal dysplasia', 'database': 'MedGen', 'id': 'C0410528'}
VCV000004992	RCV001269634	TRPV4	1	criteria provided, single submitter	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000004992	RCV003505079	TRPV4	1	criteria provided, single submitter	Pathogenic	{'name': 'Charcot-Marie-Tooth disease axonal type 2C', 'database': 'MedGen', 'id': 'C1853710'}
VCV000005025	RCV000005328	FGF23	0	no assertion criteria provided	Pathogenic	{'name': 'Autosomal dominant hypophosphatemic rickets', 'database': 'MedGen', 'id': 'C0342642'}
VCV000005025	RCV000254829	FGF23	1	criteria provided, single submitter	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000005198	RCV000005508	ANKH	0	no assertion criteria provided	Pathogenic	{'name': 'Chondrocalcinosis 2', 'database': 'MedGen', 'id': 'C0856830'}
VCV000005198	RCV004719627	ANKH	1	criteria provided, single submitter	Likely pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000005234	RCV000005545	TARDBP	2	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	{'name': 'Amyotrophic lateral sclerosis type 10', 'database': 'MedGen', 'id': 'C2677565'}
VCV000005234	RCV000516886	TARDBP	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000005234	RCV001851671	TARDBP	1	criteria provided, single submitter	Pathogenic	{'name': 'Amyotrophic lateral sclerosis type 10', 'database': 'MedGen', 'id': 'C2677565'};{'name': 'FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, TARDBP-RELATED', 'database': 'MedGen', 'id': 'C3150169'}
VCV000005236	RCV000005547	TARDBP	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Amyotrophic lateral sclerosis type 10', 'database': 'MedGen', 'id': 'C2677565'}
VCV000005236	RCV001384596	TARDBP	1	criteria provided, single submitter	Pathogenic	{'name': 'Amyotrophic lateral sclerosis type 10', 'database': 'MedGen', 'id': 'C2677565'};{'name': 'FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, TARDBP-RELATED', 'database': 'MedGen', 'id': 'C3150169'}
VCV000005236	RCV004546411	TARDBP	1	criteria provided, single submitter	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
VCV000005284	RCV000005602	PRKAG3	0	no assertion criteria provided	association	{'name': 'SKELETAL MUSCLE GLYCOGEN CONTENT AND METABOLISM QUANTITATIVE TRAIT LOCUS', 'database': 'MedGen', 'id': 'C5436642'}
VCV000005391	RCV000005722	RRM2B	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5', 'database': 'MedGen', 'id': 'C2751319'}
VCV000005391	RCV000119016	RRM2B	0	no classification provided	not provided	{'name': 'RRM2B-related mitochondrial disease', 'database': 'MedGen', 'id': 'CN187502'}
VCV000005391	RCV000197531	RRM2B	2	criteria provided, multiple submitters, no conflicts	Pathogenic	{'name': 'not provided', 'database': 'MedGen', 'id': 'C3661900'}
