domain	ks_stat	p_value	fdr_corrected_p_value	is_more_tolerant	n_query	n_comp_used	composite_T	median_query	median_composite
ENSG00000116218:Transmembrane_helices:TMhelix	0.4365217391304348	0.0014789327164324	0.0024793759303637	True	23	50	28973	0.7466999888420105	0.9471499919891356
ENSG00000077522:Superfamily:SSF47576	0.024793388429752	0.8620271190690675	0.9490365710154172	False	242	242	28973	0.996150016784668	0.9528500139713288
ENSG00000077522:PANTHER:PTHR11915	0.016359918200409	0.877435847704262	0.9614888944439642	False	489	489	28973	0.987600028514862	0.9632999897003174
ENSG00000077522:Gene3D:1.10.418.10	0.0338983050847457	0.7628725225788944	0.8603925042625797	False	236	236	28973	0.996649980545044	0.962249994277954
ENSG00000077522:Superfamily:SSF47473	0.0697674418604651	0.5347349960587137	0.6325084921282317	False	129	129	28973	0.9448999762535096	0.930899977684021
ENSG00000077522:Superfamily:SSF46966	0.1404255319148936	9.245052082729198e-05	0.0001751050358054	True	470	470	28973	0.9377999901771544	0.9540000259876252
ENSG00000077522:CDD:cd21214	0.0	1.0	1.0	False	105	105	28973	0.998199999332428	0.965499997138977
ENSG00000077522:Gene3D:1.20.58.60	0.1721311475409836	4.962184370430664e-07	1.166867317155858e-06	True	488	488	28973	0.9389999806880952	0.9708999991416932
ENSG00000077522:Gene3D:1.10.238.10	0.1458333333333333	0.046760081885278	0.0660685474129609	False	144	144	28973	0.9209499955177308	0.9553500115871428
ENSG00000077522:Pfam:PF00435	0.1720930232558139	2.806759507836944e-06	6.1543470371070674e-06	True	430	430	28973	0.9351000189781188	0.9731500148773192
ENSG00000077522:CDD:cd21216	0.008695652173913	0.9913793103448276	1.0	False	115	115	28973	0.9955000281333924	0.9319999814033508
ENSG00000077522:CDD:cd00176	0.1364985163204747	0.0018562775144705	0.0030806654464777	True	337	337	28973	0.9488999843597412	0.9611999988555908
ENSG00000077522:Pfam:PF08726	0.1940298507462686	0.0805104474508505	0.1102719323366886	False	67	67	28973	0.9203000068664552	0.9702000021934508
ENSG00000077522:PROSITE_patterns:PS00020	0.0	1.0	1.0	False	25	50	28973	0.9990000128746032	0.9641500115394592
ENSG00000077522:SMART:SM01184	0.1343283582089552	0.3001242451253121	0.3745608113813534	False	67	67	28973	0.9203000068664552	0.954800009727478
ENSG00000077522:PROSITE_patterns:PS00019	0.02	0.9803921568627452	1.0	False	10	50	28973	0.9991500079631804	0.9840500056743622
ENSG00000077522:SMART:SM00150	0.164516129032258	0.00022154558907	0.0004042460857554	True	310	310	28973	0.9246499836444856	0.9560999870300292
ENSG00000077522:Coiled-coils_(Ncoils):Coil	0.1698113207547169	0.0101264951731386	0.0155074546204486	True	159	159	28973	0.9670000076293944	0.972000002861023
ENSG00000077522:Low_complexity_(Seg):seg	0.12	0.5242868537571305	0.6212070081744632	False	31	50	28973	0.9761000275611876	0.8199999928474426
ENSG00000068831:Low_complexity_(Seg):seg	0.5925925925925926	1.956897604754681e-09	5.750837408323233e-09	True	54	54	28973	0.1780499964952469	0.9693000018596648
ENSG00000068831:Gene3D:1.10.238.10	0.2151898734177215	0.0256453391579755	0.0374448707105284	True	79	79	28973	0.8468000292778015	0.944599986076355
ENSG00000068831:Gene3D:3.30.60.20	0.238095238095238	0.0279611104085037	0.0406564028925417	True	63	63	28973	0.8669999837875366	0.9401999711990356
ENSG00000068831:CDD:cd20861	0.2321428571428571	0.048897179610546	0.0689265893431726	False	56	56	28973	0.8954499959945679	0.9623999893665314
ENSG00000068831:Gene3D:1.10.840.10	0.1268115942028985	0.011769042525009	0.0178904037508548	True	276	276	28973	0.9383000135421752	0.9741499722003936
ENSG00000068831:Gene3D:1.20.870.10	0.3283582089552239	4.2875378399428966e-07	1.0134645880855353e-06	True	134	134	28973	0.7053999900817871	0.949400007724762
ENSG00000068831:Pfam:PF00618	0.1808510638297872	0.0461949986207805	0.0653200518873283	False	94	94	28973	0.8117499947547913	0.9224500060081482
ENSG00000068831:Pfam:PF00130	0.2115384615384615	0.0980914007175696	0.1326540054738748	False	52	52	28973	0.8932499885559082	0.9490500092506408
ENSG00000068831:CDD:cd06224	0.2857142857142857	9.814622384241308e-05	0.0001853773939351	True	112	112	28973	0.7985999882221222	0.9724000096321106
ENSG00000068831:Superfamily:SSF48366	0.1790281329923273	3.428071927551454e-06	7.459712620863688e-06	True	391	391	28973	0.9079999923706056	0.9588000178337096
ENSG00000068831:Superfamily:SSF47473	0.2073170731707317	0.0293575141466074	0.0425830266803886	True	82	82	28973	0.8039999902248383	0.94854998588562
ENSG00000068831:Superfamily:SSF57889	0.2545454545454545	0.0281595364721448	0.0409233441661579	True	55	55	28973	0.8949999809265137	0.9739999771118164
ENSG00000068831:PROSITE_patterns:PS00479	0.2	0.1362479032043703	0.1803789449636314	False	50	50	28973	0.8932499885559082	0.9400999844074248
ENSG00000068831:PROSITE_profiles:PS50212	0.2926829268292683	2.3753710517691684e-05	4.763683278396872e-05	True	123	123	28973	0.7562999725341797	0.9670000076293944
ENSG00000068831:SMART:SM00109	0.22	0.089342887347128	0.1215646872073696	False	50	50	28973	0.8932499885559082	0.9573499858379364
ENSG00000068831:PROSITE_profiles:PS50081	0.1764705882352941	0.2057960489167058	0.2644880072801067	False	51	51	28973	0.8914999961853027	0.9423999786376952
ENSG00000068831:PROSITE_patterns:PS00018	0.1615384615384615	0.3667513343008584	0.4502306739308577	False	26	50	28973	0.9623500108718872	0.8651500046253204
ENSG00000068831:PANTHER:PTHR23113	0.1506849315068493	0.0002465737058797	0.0004478929761818	True	365	365	28973	0.9193000197410583	0.949400007724762
ENSG00000068831:Coiled-coils_(Ncoils):Coil	0.2247619047619047	0.188987048235687	0.2444764975304094	False	21	50	28973	0.7562999725341797	0.8224000036716461
ENSG00000068831:SMART:SM00229	0.2096774193548387	0.0042118201557239	0.0067289522014944	True	124	124	28973	0.7355499863624573	0.9289000034332277
ENSG00000137710:PANTHER:PTHR23281	0.0360824742268041	0.4689564171461228	0.5625704582583771	False	582	582	28973	0.9738499820232392	0.955949991941452
ENSG00000137710:Pfam:PF00769	0.1785714285714285	0.0687792275509893	0.0950953233854695	False	84	84	28973	0.966049998998642	0.9706499874591829
ENSG00000137710:Pfam:PF00373	0.1384615384615384	0.0828536761569843	0.1133005516648624	False	130	130	28973	0.9554000198841096	0.9670999944210052
ENSG00000137710:Pfam:PF20492	0.125	0.1538062700640914	0.2018784548745107	False	120	120	28973	0.9356500208377838	0.9227499961853028
ENSG00000137710:Pfam:PF09380	0.0112359550561797	0.9888888888888888	1.0	False	89	89	28973	0.9973999857902528	0.9563999772071838
ENSG00000137710:Superfamily:SSF48678	0.1354166666666666	0.1726281651454208	0.2247297505475703	False	96	96	28973	0.9370000064373016	0.9544000029563904
ENSG00000137710:Pfam:PF09379	0.0	1.0	1.0	False	62	62	28973	0.9970499873161316	0.9309000074863434
ENSG00000137710:Superfamily:SSF47031	0.1746031746031746	0.0213737713019084	0.0314858657897031	True	126	126	28973	0.965800017118454	0.9378000199794768
ENSG00000137710:Superfamily:SSF50729	0.0211267605633802	0.9387910939635078	1.0	False	142	142	28973	0.9952499866485596	0.9451500177383424
ENSG00000137710:Superfamily:SSF54236	0.0116279069767441	0.9885057471264368	1.0	False	86	86	28973	0.9959499835968018	0.9483999907970428
ENSG00000137710:PIRSF:PIRSF002305	0.0481099656357388	0.2601644860685557	0.328457517223111	False	582	582	28973	0.9738499820232392	0.9546500146389008
ENSG00000137710:PROSITE_profiles:PS50057	0.0265486725663716	0.787718933559276	0.8833279482727867	False	339	339	28973	0.991599977016449	0.9569000005722046
ENSG00000137710:SMART:SM01196	0.0555555555555555	0.7585238924076604	0.8562055193382172	False	90	90	28973	0.9973500072956084	0.9565999805927276
ENSG00000137710:SMART:SM00295	0.04	0.6707846297010326	0.771649566873619	False	250	250	28973	0.9866499900817872	0.9339500069618224
ENSG00000137710:Gene3D:1.20.80.10	0.1068702290076335	0.2246266569076658	0.286906975422367	False	131	131	28973	0.9689000248908995	0.9541000127792358
ENSG00000137710:Gene3D:1.20.5.450	0.08	0.7282190412046127	0.8274391376523195	False	50	50	28973	0.962149977684021	0.9396999776363372
ENSG00000137710:Gene3D:1.20.80.60	0.2153846153846154	0.0490204985574384	0.0690894228189812	False	65	65	28973	0.9689000248908995	0.9347000122070312
ENSG00000137710:Gene3D:6.10.360.10	0.1584158415841584	0.0794444433921458	0.1089005353668643	False	101	101	28973	0.9456999897956848	0.9286999702453612
ENSG00000137710:Prints:PR00935	0.0625	0.7801911872148923	0.8762240936192356	False	64	64	28973	0.9880000054836272	0.929749995470047
ENSG00000137710:Gene3D:2.30.29.30	0.0	1.0	1.0	False	96	96	28973	0.9975999891757964	0.9529000222682952
ENSG00000137710:Gene3D:3.10.20.90	0.0379746835443038	0.8929426377597109	0.9743556620538238	False	79	79	28973	0.9959999918937684	0.9710000157356262
ENSG00000137710:Prints:PR00661	0.0242424242424242	0.9078411529810864	0.9863005423494892	False	165	165	28973	0.9925000071525574	0.946399986743927
ENSG00000137710:Coiled-coils_(Ncoils):Coil	0.15	0.0070313922476828	0.0109618821934289	True	220	220	28973	0.9180999994277954	0.9566500186920166
ENSG00000137710:Low_complexity_(Seg):seg	0.3185840707964602	9.002351916816832e-06	1.881525999531207e-05	True	113	113	28973	0.6899999976158142	0.9660000205039978
ENSG00000137710:CDD:cd13194	0.0309278350515463	0.9118119975262832	0.9894132688713978	False	97	97	28973	0.9973999857902528	0.9842000007629396
ENSG00000137710:CDD:cd14473	0.1683168316831683	0.0572269295621389	0.0799847603563647	False	101	101	28973	0.9516000151634216	0.9545999765396118
ENSG00000137710:CDD:cd17187	0.0	1.0	1.0	False	83	83	28973	0.9962000250816344	0.9488999843597412
ENSG00000137710:PROSITE_patterns:PS00660	0.1077419354838709	0.5885252088090343	0.6882601963313695	False	31	50	28973	0.991699993610382	0.9733999967575072
ENSG00000137710:PROSITE_patterns:PS00661	0.1666666666666666	0.3213160050012151	0.3987572559022627	False	30	50	28973	0.9826000034809113	0.9594999849796296
ENSG00000167548:PROSITE_profiles:PS50868	0.0	1.0	1.0	False	17	50	28973	0.9994999766349792	0.9844499826431274
ENSG00000167548:PROSITE_profiles:PS51542	0.081967213114754	0.6656814287862676	0.7666230377599713	False	61	61	28973	0.9944000244140624	0.9667999744415284
ENSG00000167548:PROSITE_profiles:PS51805	0.0535714285714285	0.5263809362672731	0.6235037582414289	False	224	224	28973	0.968999981880188	0.9437000155448914
ENSG00000167548:PROSITE_profiles:PS51543	0.0697674418604651	0.6593408234203005	0.7600025444233546	False	86	86	28973	0.9863999783992768	0.9650999903678894
ENSG00000167548:PROSITE_profiles:PS50016	0.0	1.0	1.0	False	255	255	28973	0.9921000003814696	0.9384999871253968
ENSG00000167548:Superfamily:SSF47095	0.0196078431372549	0.9807692307692308	1.0	False	51	51	28973	0.9990000128746032	0.9526000022888184
ENSG00000167548:Superfamily:SSF82199	0.0	1.0	1.0	False	159	159	28973	0.9991000294685364	0.968500018119812
ENSG00000167548:Gene3D:3.30.160.360	0.1	0.2472563629465655	0.3134099924195463	False	140	140	28973	0.9911500215530396	0.9780000150203704
ENSG00000167548:Superfamily:SSF57903	0.0	1.0	1.0	False	289	289	28973	0.9889000058174132	0.95660001039505
ENSG00000167548:Gene3D:2.170.270.10	0.0	1.0	1.0	False	199	199	28973	0.9983000159263612	0.9628999829292296
ENSG00000167548:Gene3D:3.30.40.10	0.0106382978723404	0.9482510956580664	1.0	False	470	470	28973	0.9851999878883362	0.9387000203132628
ENSG00000167548:Gene3D:1.10.30.10	0.0	1.0	1.0	False	92	92	28973	0.9952000081539154	0.9685500264167786
ENSG00000167548:SMART:SM00508	0.0	1.0	1.0	False	17	50	28973	0.9994999766349792	0.9693500101566316
ENSG00000167548:SMART:SM00542	0.1136363636363636	0.3222756132748268	0.3999097892681881	False	88	88	28973	0.9880000054836272	0.9823000133037568
ENSG00000167548:SMART:SM00184	0.0	1.0	1.0	False	279	279	28973	0.9829999804496764	0.9526000022888184
ENSG00000167548:SMART:SM00249	0.0	1.0	1.0	False	338	338	28973	0.9887499809265136	0.9465999901294708
ENSG00000167548:SMART:SM00398	0.0	1.0	1.0	False	72	72	28973	0.9967000186443328	0.9601500034332277
ENSG00000167548:CDD:cd19171	0.0	1.0	1.0	False	153	153	28973	0.9991999864578248	0.9717000126838684
ENSG00000167548:PROSITE_profiles:PS50089	0.1565217391304348	0.2716472533004641	0.3417873904605348	False	46	50	28973	0.9362000226974488	0.966049998998642
ENSG00000167548:CDD:cd15698	0.02803738317757	0.9196784357334816	0.9953489294130852	False	107	107	28973	0.9966999888420104	0.9555000066757202
ENSG00000167548:PANTHER:PTHR45888	0.2025669642857142	7.121576294585833e-33	8.693222037617827e-32	True	1792	1792	28973	0.7522000074386597	0.9532999992370604
ENSG00000167548:CDD:cd22027	0.0238095238095238	0.9537619699042408	1.0	False	84	84	28973	0.9973500072956084	0.972350001335144
ENSG00000167548:CDD:cd15601	0.0784313725490196	0.7327263931037516	0.8318919621184614	False	51	51	28973	0.9695000052452089	0.9611999988555908
ENSG00000167548:CDD:cd15513	0.0	1.0	1.0	False	47	50	28973	0.9990000128746032	0.9835500121116638
ENSG00000167548:CDD:cd15597	0.0	1.0	1.0	False	51	51	28973	0.9984999895095824	0.9592000246047974
ENSG00000167548:CDD:cd15695	0.2142857142857142	0.0209878791398167	0.0309469439334665	True	84	84	28973	0.910050004720688	0.9556999802589417
ENSG00000167548:Pfam:PF13832	0.0202020202020202	0.9605940594059406	1.0	False	99	99	28973	0.9973999857902528	0.9664999842643738
ENSG00000167548:Pfam:PF05964	0.0689655172413793	0.7605517661716068	0.8581087590758173	False	58	58	28973	0.994599997997284	0.8558500111103058
ENSG00000167548:Pfam:PF05965	0.1058823529411764	0.3870835074571756	0.4728135061099502	False	85	85	28973	0.9882000088691713	0.9487000107765198
ENSG00000167548:Pfam:PF00628	0.0	1.0	1.0	False	183	183	28973	0.9940999746322632	0.9610000252723694
ENSG00000167548:CDD:cd15509	0.1582608695652174	0.2635032475255132	0.3323783540422034	False	46	50	28973	0.9188500046730042	0.96875
ENSG00000167548:Pfam:PF13771	0.3125	0.0003730694359595	0.0006653201822398	True	80	80	28973	0.9059499800205232	0.9828999936580658
ENSG00000167548:SMART:SM00541	0.06	0.8004720709816241	0.8950812485658377	False	44	50	28973	0.9945500195026398	0.9838999807834624
ENSG00000167548:Low_complexity_(Seg):seg	0.5614678899082569	4.756778833618027e-238	4.1677062798319027e-235	True	1635	1635	28973	0.2768000066280365	0.9624000191688538
ENSG00000167548:Coiled-coils_(Ncoils):Coil	0.189516129032258	0.0001306360997357	0.0002438607211275	True	248	248	28973	0.9112500250339508	0.953900009393692
ENSG00000198707:Low_complexity_(Seg):seg	0.4763513513513513	4.663426586024797e-31	5.278888436719261e-30	True	296	296	28973	0.3387999981641769	0.944000005722046
ENSG00000198707:Coiled-coils_(Ncoils):Coil	0.4817518248175182	4.588759083865306e-159	1.7269235332551978e-156	True	1507	1507	28973	0.4189999997615814	0.958199977874756
ENSG00000198707:Pfam:PF16574	0.5078125	1.0947161492355394e-15	5.3412737041838305e-15	True	128	128	28973	0.4359000027179718	0.9624000191688538
ENSG00000198707:PANTHER:PTHR18879	0.4777206512425021	1.0201745584285056e-241	9.327001344702093e-239	True	2334	2334	28973	0.4285999983549118	0.9581499993801116
ENSG00000197299:Pfam:PF16202	0.7220708446866485	4.946212311852813e-93	5.695185994091825e-91	True	367	367	28973	0.1138999983668327	0.961899995803833
ENSG00000197299:Pfam:PF16204	0.8026905829596412	2.275387436779591e-72	1.2628587950424715e-70	True	223	223	28973	0.119499996304512	0.9531000256538392
ENSG00000197299:Coiled-coils_(Ncoils):Coil	1.0	1.8270708961531136e-18	1.0722321554633358e-17	True	21	50	28973	0.1031000018119812	0.8989500105381012
ENSG00000197299:Pfam:PF16124	0.2191780821917808	0.0298676193317102	0.043273680769958	True	73	73	28973	0.8932999968528748	0.9387999773025512
ENSG00000197299:Low_complexity_(Seg):seg	0.5949367088607594	1.3237339650425894e-26	1.2160468479759693e-25	True	158	158	28973	0.1671499982476234	0.9549999833106996
ENSG00000197299:PANTHER:PTHR13710	0.3096836049856184	7.209414409382937e-45	1.4156522939064151e-43	True	1043	1043	28973	0.4709999859333038	0.9545000195503236
ENSG00000197299:Superfamily:SSF52540	0.0759219088937093	0.0701627866707282	0.0969015341212925	False	461	461	28973	0.9645000100135804	0.957099974155426
ENSG00000197299:Gene3D:3.40.50.300	0.0900692840646651	0.0297955156847432	0.043180370397789	True	433	433	28973	0.9700999855995178	0.9373999834060668
ENSG00000197299:Superfamily:SSF46785	0.3448275862068966	8.173119159918515e-07	1.8866384330080852e-06	True	116	116	28973	0.7623000144958496	0.9387499988079072
ENSG00000197299:Gene3D:1.10.10.10	0.4016393442622951	1.7578477209480096e-09	5.187447016244839e-09	True	122	122	28973	0.7199999988079071	0.9685499966144562
ENSG00000197299:Superfamily:SSF47819	0.3380281690140845	0.0002707445984815	0.0004898257594437	True	71	71	28973	0.8618000149726868	0.9894999861717224
ENSG00000197299:Gene3D:1.10.150.80	0.3362068965517241	1.655852712918556e-06	3.710965747319526e-06	True	116	116	28973	0.6399500072002411	0.9724000096321106
ENSG00000197299:CDD:cd18016	0.0961538461538461	0.1463997402819957	0.1928793790144352	False	208	208	28973	0.9844499826431274	0.9718500077724456
ENSG00000197299:SMART:SM00487	0.0891089108910891	0.2014708836695407	0.2592700213702554	False	202	202	28973	0.9888499975204468	0.9749999940395356
ENSG00000197299:CDD:cd18794	0.0666666666666666	0.5497874265302573	0.6482983454006314	False	135	135	28973	0.98580002784729	0.9674999713897704
ENSG00000197299:NCBIFAM:TIGR00614	0.0838445807770961	0.0321243192086176	0.0463576415656394	True	489	489	28973	0.9603000283241272	0.9455000162124634
ENSG00000197299:PROSITE_profiles:PS51194	0.1283783783783783	0.087366487573464	0.1190372461979074	False	148	148	28973	0.9773999750614166	0.9652500152587892
ENSG00000197299:SMART:SM00490	0.0602409638554216	0.7411318103096017	0.8400515889721464	False	83	83	28973	0.9923999905586244	0.9822999835014344
ENSG00000197299:PROSITE_patterns:PS00690	0.02	0.9803921568627452	1.0	False	10	50	28973	0.9979499876499176	0.9766999781131744
ENSG00000197299:PROSITE_profiles:PS51192	0.1420454545454545	0.0286384945419222	0.0415809624149918	True	176	176	28973	0.9888499975204468	0.9722500145435332
ENSG00000197299:Pfam:PF00271	0.1067961165048543	0.3099687408393062	0.3859250076987626	False	103	103	28973	0.9907000064849854	0.9804999828338624
ENSG00000007541:Low_complexity_(Seg):seg	0.2212389380530973	0.0038797500994181	0.0062220620713515	True	113	113	28973	0.7760000228881836	0.9265000224113464
ENSG00000007541:Transmembrane_helices:TMhelix	0.2421875	0.0005246160155172	0.000922005056294	True	128	128	28973	0.9441999793052672	0.967600017786026
ENSG00000007541:PANTHER:PTHR21329	0.2946708463949843	3.9787749314611046e-25	3.3918889945531925e-24	True	638	638	28973	0.6113499999046326	0.9451999962329865
ENSG00000007541:Pfam:PF05024	0.2386363636363636	2.630668904491063e-07	6.342553926593383e-07	True	264	264	28973	0.930999994277954	0.9592499732971193
ENSG00000065054:PIRSF:PIRSF037866	0.2261904761904762	3.0245676830304954e-08	7.962221046953759e-08	True	336	336	28973	0.765749990940094	0.9569499790668488
ENSG00000065054:Gene3D:2.30.42.10	0.1358695652173913	0.0334411360374199	0.0481533924607783	True	184	184	28973	0.9505500197410583	0.9661999940872192
ENSG00000065054:Superfamily:SSF50156	0.1564245810055866	0.0124558618292845	0.0188672805606775	True	179	179	28973	0.953000009059906	0.9700999855995178
ENSG00000065054:CDD:cd00992	0.1125	0.1322662823664268	0.1754750064552636	False	160	160	28973	0.977649986743927	0.9611999988555908
ENSG00000065054:Pfam:PF09007	0.4245283018867924	3.000591084784648e-09	8.663470308522035e-09	True	106	106	28973	0.4912500083446502	0.981550008058548
ENSG00000065057:Gene3D:1.10.340.30	0.3356643356643357	7.778293887777679e-08	1.968006155522236e-07	True	143	143	28973	0.7221999764442444	0.9010000228881836
ENSG00000065057:HAMAP:MF_03183	0.5111111111111111	1.9576675856676025e-27	1.876387181720478e-26	True	225	225	28973	0.7103000283241272	0.9807000160217284
ENSG00000065054:PANTHER:PTHR14191	0.315126050420168	3.813746694403554e-11	1.3067191685289302e-10	True	238	238	28973	0.7372000217437744	0.9755999743938446
ENSG00000065054:Low_complexity_(Seg):seg	0.3365217391304347	0.0206694678817236	0.0304974905752657	True	23	50	28973	0.9272000193595886	0.9862000048160552
ENSG00000065057:Gene3D:1.10.1670.10	0.4880952380952381	9.657070807022602e-10	2.911468909942584e-09	True	84	84	28973	0.7072499990463257	0.9692500233650208
ENSG00000065057:PIRSF:PIRSF001435	0.4285714285714285	2.064586436220727e-17	1.1348546727890452e-16	True	203	203	28973	0.7253000140190125	0.9542999863624572
ENSG00000065057:PANTHER:PTHR43286	0.4296577946768061	1.805755896127312e-22	1.3337856163083418e-21	True	263	263	28973	0.5519999861717224	0.9520000219345092
ENSG00000065057:SMART:SM00525	0.58	1.7492717103952968e-05	3.552670951802825e-05	True	21	50	28973	0.358599990606308	0.9595500230789183
