#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Haploinsufficiency Disease ID	Triplosensitivity Disease ID
ADGRV1	84059	5q14.3	chr5:89854614-90460254	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2021-08-23	MONDO:0016484	
ADNP	23394	20q13.13	chr20:49505455-49547974	3	Sufficient evidence for dosage pathogenicity	24531329	25533962					0	No evidence available							2017-11-22	MONDO:0014379	
ADSL	158	22q13.1	chr22:40742504-40783531	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-11-05	MONDO:0007068	
AFF2	2334	Xq28	chrX:147582137-148082193	3	Sufficient evidence for dosage pathogenicity	22065534	21739600	8673085				0	No evidence available							2020-12-08	MONDO:0010659	
AGA	175	4q34.3	chr4:178351928-178363591	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0008830	
AGAP2	116986	12q14.1	chr12:58117544-58135944	0	No evidence available							0	No evidence available							2025-02-26		
AGK	55750	7q34	chr7:141251210-141355044	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-11-20	MONDO:0008922	
AGO4	192670	1p34.3	chr1:36273237-36323491	0	No evidence available							0	No evidence available							2024-10-08		
AGPAT2	10555	9q34.3	chr9:139567595-139581909	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012071	
AGRN	375790	1p36.33	chr1:955500-991496	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014052	
AGT	183	1q42.2	chr1:230838269-230881329	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-11-13	MONDO:0009970	
AGTR2	186	Xq23	chrX:115301997-115306227	0	No evidence available							0	No evidence available							2012-05-10	MONDO:0010454	
AGXT	189	2q37.3	chr2:241808241-241819917	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009823	
AHCY	191	20q11.22	chr20:32868074-32899608	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-06-08	MONDO:0013404	
AHDC1	27245	1p36.11-p35.3	chr1:27860756-27930655	3	Sufficient evidence for dosage pathogenicity	24791903	27148574	29230160				0	No evidence available							2018-02-28	MONDO:0014358	
AHI1	54806	6q23.3	chr6:135604670-135818878	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-09-06	MONDO:0012078	
AICDA	57379	12p13.31	chr12:8754766-8765455	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011528	
AIFM1	9131	Xq26.1	chrX:129263337-129299815	0	No evidence available	28991257						0	No evidence available							2025-04-23	MONDO:0010378	
AIMP1	9255	4q24	chr4:107236701-107270613	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009843	
AKT1	207	14q32.33	chr14:105235686-105262085	0	No evidence available							0	No evidence available							2022-01-25		
AKT2	208	19q13.2	chr19:40736224-40791252	0	No evidence available							0	No evidence available							2015-05-07		
AKT3	10000	1q43-q44	chr1:243651535-244014381	1	Little evidence for dosage pathogenicity	21800092	25424989	30091983				0	No evidence available							2023-05-09	MONDO:0001149	
ALAD	210	9q32	chr9:116148592-116163564	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013000	
ALDH1A3	220	15q26.3	chr15:101420036-101456831	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014050	
ALDH3A2	224	17p11.2	chr17:19551449-19580909	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0010031	
ALDH4A1	8659	1p36.13	chr1:19197924-19229049	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-04-09	MONDO:0009401	
ALDH5A1	7915	6p22.3	chr6:24495197-24537435	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010083	
ALDOA	226	16p11.2	chr16:30075600-30081741	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012747	
ALG1	56052	16p13.3	chr16:5121844-5137380	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012052	
ALG12	79087	22q13.33	chr22:50293877-50312086	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011783	
ALG13	79868	Xq23	chrX:110924398-111003877	1	Little evidence for dosage pathogenicity	22492991	33734437					0	No evidence available							2025-04-23		
ALG2	85365	9q22.33	chr9:101978707-101984224	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014543	
ALG6	29929	1p31.3	chr1:63833298-63904224	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011291	
ALMS1	7840	2p13.1	chr2:73612886-73837046	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008763	
ALS2	57679	2q33.1	chr2:202564990-202645656	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008763	
ALX4	60529	11p11.2	chr11:44281990-44331689	3	Sufficient evidence for dosage pathogenicity	11137991	11106354	16319823				0	No evidence available							2020-07-22	MONDO:0012309	
AMH	268	19p13.3	chr19:2249322-2252072	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009857	
AMN	81693	14q32.32	chr14:103389000-103397179	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0100156	
ANGPTL3	27329	1p31.3	chr1:63063191-63071984	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011505	
ANK2	287	4q25-q26	chr4:113626778-114304892	3	Sufficient evidence for dosage pathogenicity	37195288	22542183	25363768	25363760	28263302	37088467	0	No evidence available							2025-01-14	MONDO:0100038	
ANKH	56172	5p15.2	chr5:14704909-14871887	0	No evidence available	11326338	22150416	20186813	23390136			0	No evidence available							2022-02-23		
ANKRD11	29123	16q24.3	chr16:89334038-89556969	3	Sufficient evidence for dosage pathogenicity	21782149	35330407	28422132				0	No evidence available							2022-06-14	MONDO:0007846	
ANKRD17	26057	4q13.3	chr4:73939093-74124515	3	Sufficient evidence for dosage pathogenicity	33909992						0	No evidence available							2023-04-11	MONDO:0000508	
ANKRD26	22852	10p12.1	chr10:27293045-27389423	0	No evidence available							0	No evidence available							2023-10-10	MONDO:0008555	MONDO:0008555
ANKS6	203286	9q22.33	chr9:101494291-101558837	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014158	
ANOS1	3730	Xp22.31	chrX:8496915-8700178	3	Sufficient evidence for dosage pathogenicity	28122887	12050219	24232061	21717404	25328414	18463157	0	No evidence available	18657637						2021-05-26	MONDO:0010635	
ANTXR2	118429	4q21.21	chr4:80822300-80994626	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009229	
AP1S2	8905	Xp22.2	chrX:15843929-15872936	3	Sufficient evidence for dosage pathogenicity	17186471	17617514	18428203	23756445	30383884	25649377	0	No evidence available							2021-04-28	MONDO:0010574	
AP4B1	10717	1p13.2	chr1:114436816-114447650	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013551	
AP4S1	11154	14q12	chr14:31494312-31565656	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013552	
APC	324	5q22.2	chr5:112043195-112181936	3	Sufficient evidence for dosage pathogenicity	1651174	10051640	23159591				0	No evidence available							2021-07-18	MONDO:0021057	
APOB	338	2p24.1	chr2:21224301-21266945	3	Sufficient evidence for dosage pathogenicity	27179706	1527480	2843815				0	No evidence available							2020-04-09	MONDO:0014252	
APOC2	344	19q13.32	chr19:45449308-45452822	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0008810	
AR	367	Xq12	chrX:66763863-66950461	3	Sufficient evidence for dosage pathogenicity	22334387	27994190	30742848				0	No evidence available							2020-12-08	MONDO:0019154	
ARCN1	372	11q23.3	chr11:118443124-118473748	3	Sufficient evidence for dosage pathogenicity	27476655	33154040	31075182	35300924			0	No evidence available							2022-05-10	MONDO:0014948	
ARFGEF2	10564	20q13.13	chr20:47538248-47653230	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011966	
ARG1	383	6q23.2	chr6:131894366-131905469	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008814	
ARHGAP11B	89839	15q13.2	chr15:30918331-30941432	0	No evidence available	30886340	22346768					-1								2023-03-28		
ARHGAP31	57514	3q13.32-q13.33	chr3:119013230-119139561	0	No evidence available							0	No evidence available							2023-06-13		
ARHGEF4	50649	2q21.1	chr2:131594487-131804826	0	No evidence available							0	No evidence available							2018-04-05		
ARHGEF6	9459	Xq26.3	chrX:135747709-135863091	0	No evidence available							0	No evidence available							2012-04-25		
ARHGEF9	23229	Xq11.1	chrX:62854847-63005094	3	Sufficient evidence for dosage pathogenicity	18615734	21633362	25898924	28589176	30048823	31942680	0	No evidence available							2021-11-24	MONDO:0100148	
ARID1A	8289	1p36.11	chr1:27022506-27108595	3	Sufficient evidence for dosage pathogenicity	22426308	23929686	23906836				0	No evidence available							2020-05-27	MONDO:0013819	
ARID1B	57492	6q25.3	chr6:157097160-157531913	3	Sufficient evidence for dosage pathogenicity	22426308	21801163	22405089	22426309	26376624	30349098	0	No evidence available							2021-05-26	MONDO:0007617	
ARID2	196528	12q12	chr12:46123489-46301820	3	Sufficient evidence for dosage pathogenicity	29698805	26238514	28124119				0	No evidence available							2019-06-26	MONDO:0033492	
ARL6	84100	3q11.2	chr3:97483365-97520086	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010832	
ARL6IP1	23204	16p12.3	chr16:18802989-18812871	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014304	
ARSA	410	22q13.33	chr22:51061182-51066580	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-09-05	MONDO:0009591	
ARSD	414	Xp22.33	chrX:2822013-2847380	0	No evidence available							0	No evidence available							2016-07-21		
ARX	170302	Xp21.3	chrX:25021811-25034082	3	Sufficient evidence for dosage pathogenicity	12379852	14722918					0	No evidence available							2019-12-05	MONDO:0010268	
ASAH1	427	8p22	chr8:17913501-17942470	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-09-11	MONDO:0009218	
ASH1L	55870	1q22	chr1:155305059-155532594	3	Sufficient evidence for dosage pathogenicity	28191889	25363760	28263302				0	No evidence available							2017-12-27	MONDO:0100038	
ASL	435	7q11.21	chr7:65540806-65558563	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0008815	
ASPA	443	17p13.2	chr17:3377404-3406699	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010079	
ASPH	444	8q12.3	chr8:62413115-62627151	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011106	
ASPM	259266	1q31.3	chr1:197053257-197115799	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0016660	
ASTN2	23245	9q33.1	chr9:119185391-120177335	1	Little evidence for dosage pathogenicity	24381304	32094338	21832240	19809473	18940311	30242134	0	No evidence available							2021-03-09	MONDO:0100038	
ASXL1	171023	20q11.21	chr20:30946134-31027122	3	Sufficient evidence for dosage pathogenicity	21706002	22419483					0	No evidence available							2013-03-14	MONDO:0011510	
ASXL2	55252	2p23.3	chr2:25956622-26101356	0	No evidence available							0	No evidence available							2018-06-28		
ASXL3	80816	18q12.1	chr18:31158183-31331159	3	Sufficient evidence for dosage pathogenicity	23383720	26647312	27901041				0	No evidence available							2017-11-22	MONDO:0014205	
ATCAY	85300	19p13.3	chr19:3880683-3928080	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011025	
ATF6	22926	1q23.3	chr1:161736110-161933860	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-01-12	MONDO:0014677	
ATM	472	11q22.3	chr11:108093794-108239829	3	Sufficient evidence for dosage pathogenicity	3574400	27595995	15928302				0	No evidence available							2020-04-08	MONDO:0008840	
ATP10A	57194	15q12	chr15:25923859-26108349	0	No evidence available							0	No evidence available							2012-04-24		
ATP13A2	23400	1p36.13	chr1:17312453-17338423	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011706	
ATP2A1	487	16p11.2	chr16:28889809-28915787	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010977	
ATP2C2	9914	16q24.1	chr16:84402144-84497793	0	No evidence available	25296922						0	No evidence available							2018-09-17		
ATP6AP2	10159	Xp11.4	chrX:40440222-40466100	0	No evidence available							0	No evidence available							2012-10-31		
ATP6V0A2	23545	12q24.31	chr12:124196900-124246302	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0018163	
ATP6V0A4	50617	7q34	chr7:138391039-138482941	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011268	
ATP6V1E1	529	22q11.21	chr22:18074902-18111588	0	No evidence available							0	No evidence available							2012-04-26		
ATP7A	538	Xq21.1	chrX:77166190-77305892	3	Sufficient evidence for dosage pathogenicity	14635105	32994893					0	No evidence available							2021-03-24	MONDO:0010651	
ATP7B	540	13q14.3	chr13:52506805-52585586	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-01-12	MONDO:0010200	
ATP8A2	51761	13q12.13	chr13:25946112-26599989	30	Gene associated with autosomal recessive phenotype	29531481	35321980	31069529	35872528	30012219		0	No evidence available							2023-03-28	MONDO:0014104	
ATPAF2	91647	17p11.2	chr17:17921335-17942482	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011421	
ATR	545	3q23	chr3:142168077-142297575	1	Little evidence for dosage pathogenicity	30159786	26556299	29439820				0	No evidence available							2020-06-05	MONDO:0013806	
ATRX	546	Xq21.1	chrX:76760358-77041702	3	Sufficient evidence for dosage pathogenicity	7697714						0	No evidence available							2012-07-31	MONDO:0010519	
AUTS2	26053	7q11.22	chr7:69063461-70258492	3	Sufficient evidence for dosage pathogenicity	22872102	23332918	23650183				0	No evidence available							2020-06-24	MONDO:0014361	
AVPR2	554	Xq28	chrX:153168079-153172620	3	Sufficient evidence for dosage pathogenicity	10820168	23150186	29594432				0	No evidence available							2021-02-01	MONDO:0010581	
AXIN2	8313	17q24.1	chr17:63524681-63557766	3	Sufficient evidence for dosage pathogenicity	34637023	32807118	30671715	15042511	21416598	28195393	0	No evidence available							2021-12-08	MONDO:0012075	
B3GALNT2	148789	1q42.3	chr1:235610505-235667752	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014071	
B3GALT6	126792	1p36.33	chr1:1167617-1170421	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010075	
B4GALT1	2683	9p21.1	chr9:33104075-33167334	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011772	
B4GALT7	11285	5q35.3	chr5:177027133-177037331	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0020682	
B9D1	27077	17p11.2	chr17:19238008-19281226	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014927	
BAG3	9531	10q26.11	chr10:121410892-121437331	3	Sufficient evidence for dosage pathogenicity	21353195	25008357	21459883				0	No evidence available							2015-02-12	MONDO:0005021	
BAP1	8314	3p21.1	chr3:52435024-52444024	3	Sufficient evidence for dosage pathogenicity	21874000	21941004	21874003	30883995	30517737		0	No evidence available							2025-01-30	MONDO:0013692	
BARD1	580	2q35	chr2:215590370-215674407	3	Sufficient evidence for dosage pathogenicity	20077502	20842729	21344236; 25994375				0	No evidence available							2020-05-01	MONDO:0016419	
BBS12	166379	4q27	chr4:123653859-123666094	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014440	
BBS5	129880	2q31.1	chr2:170336004-170363165	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-10-11	MONDO:0014434	
BBS7	55212	4q27	chr4:122745484-122791629	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014435	
BCAP31	10134	Xq28	chrX:152965947-152989842	3	Sufficient evidence for dosage pathogenicity	31953925	33603160	32652807	32681719	24011989	28332767	0	No evidence available							2023-08-08	MONDO:0010334	
BCHE	590	3q26.1	chr3:165490692-165555211	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0015270	
BCKDHB	594	6q14.1	chr6:80816327-81055987	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009563	
BCKDK	10295	16p11.2	chr16:31119707-31124159	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013970	
BCL11A	53335	2p16.1	chr2:60677655-60780789	3	Sufficient evidence for dosage pathogenicity	27453576	25938782	25979662				0	No evidence available							2017-04-13	MONDO:0014914	
BCL2L11	10018	2q13	chr2:111878491-111926022	0	No evidence available							0	No evidence available							2018-06-21		
BCLAF1	9774	6q23.3	chr6:136577765-136610984	1	Little evidence for dosage pathogenicity	28263302	25262651					0	No evidence available							2018-06-28		
BCOR	54880	Xp11.4	chrX:39910499-40036582	3	Sufficient evidence for dosage pathogenicity	19367324	15770227					0	No evidence available							2012-10-04	MONDO:0010261	
BCR	613	22q11.23	chr22:23522696-23660224	0	No evidence available							0	No evidence available							2012-07-10		
BCS1L	617	2q35	chr2:219524406-219528166	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009872	
BIN1	274	2q14.3	chr2:127805599-127864730	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009709	
BLM	641	15q26.1	chr15:91260577-91359396	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2022-02-09	MONDO:0008876	
BLNK	29760	10q24.1	chr10:97948927-98031326	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013289	
BMP4	652	14q22.2	chr14:54416454-54423609	3	Sufficient evidence for dosage pathogenicity	21340693	18252212	31053785	30568244	31120642	34926457	0	No evidence available							2025-04-23	MONDO:0011936	
BMPER	168667	7p14.3	chr7:33944527-34196039	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011946	
BMPR1A	657	10q23.2	chr10:88516376-88687726	3	Sufficient evidence for dosage pathogenicity	11381269	15235019	23399955				0	No evidence available							2020-06-24	MONDO:0017380	
BMPR2	659	2q33.1-q33.2	chr2:203241050-203432472	3	Sufficient evidence for dosage pathogenicity	10903931	11015450					0	No evidence available							2020-08-26	MONDO:0024533	
BPHL	670	6p25.2	chr6:3118610-3153812	40	Dosage sensitivity unlikely	32487729	22344438	28406212	32461654			0	No evidence available							2021-02-02		
BPNT2	54928	8q12.1	chr8:57870490-57906426	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013561	
BPTF	2186	17q24.2	chr17:65821619-65980494	3	Sufficient evidence for dosage pathogenicity	28942966	33522091					0	No evidence available							2022-07-12	MONDO:0000508	
BPY2	9083	Yq11.223	chrY:25130410-25151612	0	No evidence available							0	No evidence available							2012-08-22		
BRAT1	221927	7p22.3	chr7:2577444-2595158	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013784	
BRCA1	672	17q21.31	chr17:41196312-41277381	3	Sufficient evidence for dosage pathogenicity	32375709	21989022	11802209	24312913			0	No evidence available							2021-09-23	MONDO:0700268	
BRCA2	675	13q13.1	chr13:32889645-32974405	3	Sufficient evidence for dosage pathogenicity	16199546	17063271	25632310	12097290	11897832	12569143	0	No evidence available							2021-07-14	MONDO:0700269	
BRIP1	83990	17q23.2	chr17:59756500-59940889	3	Sufficient evidence for dosage pathogenicity	29368626	26720728	26315354				0	No evidence available							2019-02-15	MONDO:0016419	
BRPF1	7862	3p25.3	chr3:9773419-9789699	3	Sufficient evidence for dosage pathogenicity	27939640	27939639	31020800	32010779	35243762	37190896	0	No evidence available							2023-08-23	MONDO:0015022	
BRWD3	254065	Xq21.1	chrX:79925002-80065376	3	Sufficient evidence for dosage pathogenicity	17668385	24462886	28475857	31714006	30628072		0	No evidence available							2022-08-24	MONDO:0100284	
BSND	7809	1p32.3	chr1:55464606-55482845	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-05-17	MONDO:0011242	
BTD	686	3p25.1	chr3:15642859-15764023	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-05-21	MONDO:0009665	
BTK	695	Xq22.1	chrX:100604438-100645784	3	Sufficient evidence for dosage pathogenicity	16159644	27512878	32169379				0	No evidence available							2021-03-24	MONDO:0010421	
BUB1B	701	15q15.1	chr15:40453270-40513324	30	Gene associated with autosomal recessive phenotype	15475955	16411201	28611924	26658419	27239782		0	No evidence available							2022-02-01	MONDO:0009759	
C19orf12	83636	19q12	chr19:30189793-30206696	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013674	
C1QB	713	1p36.12	chr1:22979729-22988130	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-01-17	MONDO:0013343	
