#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Haploinsufficiency Disease ID	Triplosensitivity Disease ID
ACTB	60	7p22.1	chr7:5527148-5530601	0	No evidence available	29220674	31898838	30315159	29274487			0	No evidence available							2022-02-08	MONDO:0000508	
ACTC1	70	15q14	chr15:34790230-34795549	1	Little evidence for dosage pathogenicity	17947298	34495297	32233023				0	No evidence available							2024-09-10	MONDO:0100547	
ACTL6B	51412	7q22.1	chr7:100643097-100656448	30	Gene associated with autosomal recessive phenotype	32312822	30656450	31031012				Not yet evaluated	Not yet evaluated							2022-11-23	MONDO:0100062	
ACVRL1	94	12q13.13	chr12:51906944-51923361	3	Sufficient evidence for dosage pathogenicity	20414677						0	No evidence available							2025-02-11	MONDO:0010880	
ADA2	51816	22q11.1	chr22:17178790-17221848	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014306	
ADAM9	8754	8p11.22	chr8:38996973-39105261	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-12-11	MONDO:0013002	
ADAMTS13	11093	9q34.2	chr9:133414337-133459386	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0010122	
ADAMTS17	170691	15q26.3	chr15:99971437-100341975	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013176	
ADAMTS18	170692	16q23.1	chr16:77282128-77435034	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014195	
ADAMTS2	9509	5q35.3	chr5:179110853-179345461	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009161	
ADAMTSL2	9719	9q34.2	chr9:133532164-133575519	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009269	
ADGRG1	9289	16q21	chr16:57619738-57665567	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-05-17	MONDO:0011738	
ADGRV1	84059	5q14.3	chr5:90558797-91164437	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2021-08-23	MONDO:0016484	
ADNP	23394	20q13.13	chr20:50888918-50931437	3	Sufficient evidence for dosage pathogenicity	24531329	25533962					0	No evidence available							2017-11-22	MONDO:0014379	
ADSL	158	22q13.1	chr22:40346500-40387527	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-11-05	MONDO:0007068	
AFF2	2334	Xq28	chrX:148500617-149000663	3	Sufficient evidence for dosage pathogenicity	22065534	21739600	8673085				0	No evidence available							2020-12-08	MONDO:0010659	
AGA	175	4q34.3	chr4:177430774-177442437	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0008830	
AGAP2	116986	12q14.1	chr12:57723761-57742161	0	No evidence available							0	No evidence available							2025-02-26		
AGK	55750	7q34	chr7:141551410-141655244	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-11-20	MONDO:0008922	
AGO4	192670	1p34.3	chr1:35807636-35857890	0	No evidence available							0	No evidence available							2024-10-08		
AGPAT2	10555	9q34.3	chr9:136673143-136687457	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012071	
AGRN	375790	1p36.33	chr1:1020120-1056116	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014052	
AGT	183	1q42.2	chr1:230702523-230745583	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-11-13	MONDO:0009970	
AGTR2	186	Xq23	chrX:116170744-116174974	0	No evidence available							0	No evidence available							2012-05-10	MONDO:0010454	
AGXT	189	2q37.3	chr2:240868824-240880500	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009823	
AHCY	191	20q11.22	chr20:34231981-34311836	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-06-08	MONDO:0013404	
AHDC1	27245	1p36.11-p35.3	chr1:27534245-27604227	3	Sufficient evidence for dosage pathogenicity	24791903	27148574	29230160				0	No evidence available							2018-02-28	MONDO:0014358	
AHI1	54806	6q23.3	chr6:135283532-135497740	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-09-06	MONDO:0012078	
AICDA	57379	12p13.31	chr12:8602170-8612859	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011528	
AIFM1	9131	Xq26.1	chrX:130129362-130165841	0	No evidence available	28991257						0	No evidence available							2025-04-23	MONDO:0010378	
AIMP1	9255	4q24	chr4:106315544-106349456	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009843	
AKT1	207	14q32.33	chr14:104769349-104795748	0	No evidence available							0	No evidence available							2022-01-25		
AKT2	208	19q13.2	chr19:40230317-40285345	0	No evidence available							0	No evidence available							2015-05-07		
AKT3	10000	1q43-q44	chr1:243488233-243851079	1	Little evidence for dosage pathogenicity	21800092	25424989	30091983				0	No evidence available							2023-05-09	MONDO:0001149	
ALAD	210	9q32	chr9:113386312-113401284	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013000	
ALDH1A3	220	15q26.3	chr15:100879831-100916626	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014050	
ALDH3A2	224	17p11.2	chr17:19648136-19677596	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0010031	
ALDH4A1	8659	1p36.13	chr1:18871430-18902555	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-04-09	MONDO:0009401	
ALDH5A1	7915	6p22.3	chr6:24494969-24537207	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010083	
ALDOA	226	16p11.2	chr16:30064279-30070420	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012747	
ALG1	56052	16p13.3	chr16:5071843-5087379	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012052	
ALG12	79087	22q13.33	chr22:49859311-49918438	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011783	
ALG13	79868	Xq23	chrX:111681170-111760649	1	Little evidence for dosage pathogenicity	22492991	33734437					0	No evidence available							2025-04-23		
ALG2	85365	9q22.33	chr9:99216425-99221942	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014543	
ALG6	29929	1p31.3	chr1:63367627-63438553	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011291	
ALMS1	7840	2p13.1	chr2:73385758-73609919	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008763	
ALS2	57679	2q33.1	chr2:201700267-201780933	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008763	
ALX4	60529	11p11.2	chr11:44260440-44310139	3	Sufficient evidence for dosage pathogenicity	11137991	11106354	16319823				0	No evidence available							2020-07-22	MONDO:0012309	
AMH	268	19p13.3	chr19:2249323-2252073	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009857	
AMN	81693	14q32.32	chr14:102922663-102930842	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0100156	
ANGPTL3	27329	1p31.3	chr1:62597520-62606313	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011505	
ANK2	287	4q25-q26	chr4:112705622-113383736	3	Sufficient evidence for dosage pathogenicity	37195288	22542183	25363768	25363760	28263302	37088467	0	No evidence available							2025-01-14	MONDO:0100038	
ANKH	56172	5p15.2	chr5:14704800-14871778	0	No evidence available	11326338	22150416	20186813	23390136			0	No evidence available							2022-02-23		
ANKRD11	29123	16q24.3	chr16:89267630-89490561	3	Sufficient evidence for dosage pathogenicity	21782149	35330407	28422132				0	No evidence available							2022-06-14	MONDO:0007846	
ANKRD17	26057	4q13.3	chr4:73073376-73258798	3	Sufficient evidence for dosage pathogenicity	33909992						0	No evidence available							2023-04-11	MONDO:0000508	
ANKRD26	22852	10p12.1	chr10:26947582-27100494	0	No evidence available							0	No evidence available							2023-10-10	MONDO:0008555	MONDO:0008555
ANKS6	203286	9q22.33	chr9:98732009-98796555	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014158	
ANOS1	3730	Xp22.31	chrX:8528874-8732137	3	Sufficient evidence for dosage pathogenicity	28122887	12050219	24232061	21717404	25328414	18463157	0	No evidence available	18657637						2021-05-26	MONDO:0010635	
ANTXR2	118429	4q21.21	chr4:79901146-80073472	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009229	
AP1S2	8905	Xp22.2	chrX:15825806-15854813	3	Sufficient evidence for dosage pathogenicity	17186471	17617514	18428203	23756445	30383884	25649377	0	No evidence available							2021-04-28	MONDO:0010574	
AP4B1	10717	1p13.2	chr1:113894194-113905028	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013551	
AP4S1	11154	14q12	chr14:31025106-31096450	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013552	
APC	324	5q22.2	chr5:112707498-112846239	3	Sufficient evidence for dosage pathogenicity	1651174	10051640	23159591				0	No evidence available							2021-07-18	MONDO:0021057	
APOB	338	2p24.1	chr2:21001429-21044073	3	Sufficient evidence for dosage pathogenicity	27179706	1527480	2843815				0	No evidence available							2020-04-09	MONDO:0014252	
APOC2	344	19q13.32	chr19:44946051-44949565	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0008810	
AR	367	Xq12	chrX:67544021-67730619	3	Sufficient evidence for dosage pathogenicity	22334387	27994190	30742848				0	No evidence available							2020-12-08	MONDO:0019154	
ARCN1	372	11q23.3	chr11:118572409-118603033	3	Sufficient evidence for dosage pathogenicity	27476655	33154040	31075182	35300924			0	No evidence available							2022-05-10	MONDO:0014948	
ARFGEF2	10564	20q13.13	chr20:48921711-49036693	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011966	
ARG1	383	6q23.2	chr6:131573226-131584329	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008814	
ARHGAP11B	89839	15q13.2	chr15:30626128-30649229	0	No evidence available	30886340	22346768					-1								2023-03-28		
ARHGAP31	57514	3q13.32-q13.33	chr3:119294383-119420714	0	No evidence available							0	No evidence available							2023-06-13		
ARHGEF4	50649	2q21.1	chr2:130836914-131047253	0	No evidence available							0	No evidence available							2018-04-05		
ARHGEF6	9459	Xq26.3	chrX:136665550-136780932	0	No evidence available							0	No evidence available							2012-04-25		
ARHGEF9	23229	Xq11.1	chrX:63634967-63785214	3	Sufficient evidence for dosage pathogenicity	18615734	21633362	25898924	28589176	30048823	31942680	0	No evidence available							2021-11-24	MONDO:0100148	
ARID1A	8289	1p36.11	chr1:26696015-26782104	3	Sufficient evidence for dosage pathogenicity	22426308	23929686	23906836				0	No evidence available							2020-05-27	MONDO:0013819	
ARID1B	57492	6q25.3	chr6:156776026-157210779	3	Sufficient evidence for dosage pathogenicity	22426308	21801163	22405089	22426309	26376624	30349098	0	No evidence available							2021-05-26	MONDO:0007617	
ARID2	196528	12q12	chr12:45729706-45908037	3	Sufficient evidence for dosage pathogenicity	29698805	26238514	28124119				0	No evidence available							2019-06-26	MONDO:0033492	
ARL6	84100	3q11.2	chr3:97764521-97801242	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010832	
ARL6IP1	23204	16p12.3	chr16:18791667-18801549	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014304	
ARSA	410	22q13.33	chr22:50622754-50628152	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-09-05	MONDO:0009591	
ARSD	414	Xp22.33	chrX:2903972-2929339	0	No evidence available							0	No evidence available							2016-07-21		
ARX	170302	Xp21.3	chrX:25003694-25015965	3	Sufficient evidence for dosage pathogenicity	12379852	14722918					0	No evidence available							2019-12-05	MONDO:0010268	
ASAH1	427	8p22	chr8:18055992-18084961	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-09-11	MONDO:0009218	
ASH1L	55870	1q22	chr1:155335268-155563202	3	Sufficient evidence for dosage pathogenicity	28191889	25363760	28263302				0	No evidence available							2017-12-27	MONDO:0100038	
ASL	435	7q11.21	chr7:66075819-66093576	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0008815	
ASPA	443	17p13.2	chr17:3474110-3503405	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010079	
ASPH	444	8q12.3	chr8:61500556-61714592	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011106	
ASPM	259266	1q31.3	chr1:197084127-197146669	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0016660	
ASTN2	23245	9q33.1	chr9:116423112-117415057	1	Little evidence for dosage pathogenicity	24381304	32094338	21832240	19809473	18940311	30242134	0	No evidence available							2021-03-09	MONDO:0100038	
ASXL1	171023	20q11.21	chr20:32358331-32439319	3	Sufficient evidence for dosage pathogenicity	21706002	22419483					0	No evidence available							2013-03-14	MONDO:0011510	
ASXL2	55252	2p23.3	chr2:25733753-25878487	0	No evidence available							0	No evidence available							2018-06-28		
ASXL3	80816	18q12.1	chr18:33578219-33751195	3	Sufficient evidence for dosage pathogenicity	23383720	26647312	27901041				0	No evidence available							2017-11-22	MONDO:0014205	
ATCAY	85300	19p13.3	chr19:3880685-3928082	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011025	
ATF6	22926	1q23.3	chr1:161766320-161964070	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-01-12	MONDO:0014677	
ATM	472	11q22.3	chr11:108223067-108369102	3	Sufficient evidence for dosage pathogenicity	3574400	27595995	15928302				0	No evidence available							2020-04-08	MONDO:0008840	
ATP10A	57194	15q12	chr15:25672237-25865088	0	No evidence available							0	No evidence available							2012-04-24		
ATP13A2	23400	1p36.13	chr1:16985958-17011928	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011706	
ATP2A1	487	16p11.2	chr16:28878488-28904466	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010977	
ATP2C2	9914	16q24.1	chr16:84368538-84464187	0	No evidence available	25296922						0	No evidence available							2018-09-17		
ATP6AP2	10159	Xp11.4	chrX:40580970-40606848	0	No evidence available							0	No evidence available							2012-10-31		
ATP6V0A2	23545	12q24.31	chr12:123712353-123761755	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0018163	
ATP6V0A4	50617	7q34	chr7:138706294-138798196	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011268	
ATP6V1E1	529	22q11.21	chr22:17592136-17628822	0	No evidence available							0	No evidence available							2012-04-26		
ATP7A	538	Xq21.1	chrX:77910693-78050395	3	Sufficient evidence for dosage pathogenicity	14635105	32994893					0	No evidence available							2021-03-24	MONDO:0010651	
ATP7B	540	13q14.3	chr13:51932669-52012132	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-01-12	MONDO:0010200	
ATP8A2	51761	13q12.13	chr13:25371974-26025851	30	Gene associated with autosomal recessive phenotype	29531481	35321980	31069529	35872528	30012219		0	No evidence available							2023-03-28	MONDO:0014104	
ATPAF2	91647	17p11.2	chr17:18015059-18039168	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011421	
ATR	545	3q23	chr3:142449235-142578733	1	Little evidence for dosage pathogenicity	30159786	26556299	29439820				0	No evidence available							2020-06-05	MONDO:0013806	
ATRX	546	Xq21.1	chrX:77504880-77786216	3	Sufficient evidence for dosage pathogenicity	7697714						0	No evidence available							2012-07-31	MONDO:0010519	
AUTS2	26053	7q11.22	chr7:69598475-70793506	3	Sufficient evidence for dosage pathogenicity	22872102	23332918	23650183				0	No evidence available							2020-06-24	MONDO:0014361	
AVPR2	554	Xq28	chrX:153902625-153907166	3	Sufficient evidence for dosage pathogenicity	10820168	23150186	29594432				0	No evidence available							2021-02-01	MONDO:0010581	
AXIN2	8313	17q24.1	chr17:65528563-65561648	3	Sufficient evidence for dosage pathogenicity	34637023	32807118	30671715	15042511	21416598	28195393	0	No evidence available							2021-12-08	MONDO:0012075	
B3GALNT2	148789	1q42.3	chr1:235439796-235504452	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014071	
B3GALT6	126792	1p36.33	chr1:1232237-1235041	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010075	
B4GALT1	2683	9p21.1	chr9:33104077-33185089	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011772	
B4GALT7	11285	5q35.3	chr5:177600132-177610330	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0020682	
B9D1	27077	17p11.2	chr17:19334695-19377913	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014927	
BAG3	9531	10q26.11	chr10:119651380-119677819	3	Sufficient evidence for dosage pathogenicity	21353195	25008357	21459883				0	No evidence available							2015-02-12	MONDO:0005021	
BAP1	8314	3p21.1	chr3:52401008-52410008	3	Sufficient evidence for dosage pathogenicity	21874000	21941004	21874003	30883995	30517737		0	No evidence available							2025-01-30	MONDO:0013692	
BARD1	580	2q35	chr2:214725646-214809683	3	Sufficient evidence for dosage pathogenicity	20077502	20842729	21344236; 25994375				0	No evidence available							2020-05-01	MONDO:0016419	
BBS12	166379	4q27	chr4:122700442-122744939	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014440	
BBS5	129880	2q31.1	chr2:169479494-169506655	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-10-11	MONDO:0014434	
BBS7	55212	4q27	chr4:121824329-121870474	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014435	
BCAP31	10134	Xq28	chrX:153700492-153724387	3	Sufficient evidence for dosage pathogenicity	31953925	33603160	32652807	32681719	24011989	28332767	0	No evidence available							2023-08-08	MONDO:0010334	
BCHE	590	3q26.1	chr3:165772904-165837423	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0015270	
BCKDHB	594	6q14.1	chr6:80106610-80466676	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009563	
BCKDK	10295	16p11.2	chr16:31108386-31117640	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013970	
BCL11A	53335	2p16.1	chr2:60450520-60553924	3	Sufficient evidence for dosage pathogenicity	27453576	25938782	25979662				0	No evidence available							2017-04-13	MONDO:0014914	
BCL2L11	10018	2q13	chr2:111120914-111168445	0	No evidence available							0	No evidence available							2018-06-21		
BCLAF1	9774	6q23.3	chr6:136256627-136289846	1	Little evidence for dosage pathogenicity	28263302	25262651					0	No evidence available							2018-06-28		
BCOR	54880	Xp11.4	chrX:40051246-40177329	3	Sufficient evidence for dosage pathogenicity	19367324	15770227					0	No evidence available							2012-10-04	MONDO:0010261	
BCR	613	22q11.23	chr22:23180509-23318037	0	No evidence available							0	No evidence available							2012-07-10		
BCS1L	617	2q35	chr2:218658743-218663443	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009872	
BIN1	274	2q14.3	chr2:127048023-127107154	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009709	
BLM	641	15q26.1	chr15:90717346-90816166	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2022-02-09	MONDO:0008876	
BLNK	29760	10q24.1	chr10:96189171-96271569	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013289	
BMP4	652	14q22.2	chr14:53949736-53956891	3	Sufficient evidence for dosage pathogenicity	21340693	18252212	31053785	30568244	31120642	34926457	0	No evidence available							2025-04-23	MONDO:0011936	
BMPER	168667	7p14.3	chr7:33904915-34156427	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011946	
BMPR1A	657	10q23.2	chr10:86755763-86932844	3	Sufficient evidence for dosage pathogenicity	11381269	15235019	23399955				0	No evidence available							2020-06-24	MONDO:0017380	
BMPR2	659	2q33.1-q33.2	chr2:202376327-202567749	3	Sufficient evidence for dosage pathogenicity	10903931	11015450					0	No evidence available							2020-08-26	MONDO:0024533	
BPHL	670	6p25.2	chr6:3118376-3153578	40	Dosage sensitivity unlikely	32487729	22344438	28406212	32461654			0	No evidence available							2021-02-02		
BPNT2	54928	8q12.1	chr8:56957931-56993867	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013561	
BPTF	2186	17q24.2	chr17:67825503-67984378	3	Sufficient evidence for dosage pathogenicity	28942966	33522091					0	No evidence available							2022-07-12	MONDO:0000508	
BPY2	9083	Yq11.223	chrY:22984263-23005465	0	No evidence available							0	No evidence available							2012-08-22		
BRAT1	221927	7p22.3	chr7:2537810-2555524	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013784	
BRCA1	672	17q21.31	chr17:43044295-43170327	3	Sufficient evidence for dosage pathogenicity	32375709	21989022	11802209	24312913			0	No evidence available							2021-09-23	MONDO:0700268	
BRCA2	675	13q13.1	chr13:32315508-32400268	3	Sufficient evidence for dosage pathogenicity	16199546	17063271	25632310	12097290	11897832	12569143	0	No evidence available							2021-07-14	MONDO:0700269	
BRIP1	83990	17q23.2	chr17:61679139-61863528	3	Sufficient evidence for dosage pathogenicity	29368626	26720728	26315354				0	No evidence available							2019-02-15	MONDO:0016419	
BRPF1	7862	3p25.3	chr3:9731735-9748015	3	Sufficient evidence for dosage pathogenicity	27939640	27939639	31020800	32010779	35243762	37190896	0	No evidence available							2023-08-23	MONDO:0015022	
BRWD3	254065	Xq21.1	chrX:80669503-80809877	3	Sufficient evidence for dosage pathogenicity	17668385	24462886	28475857	31714006	30628072		0	No evidence available							2022-08-24	MONDO:0100284	
BSND	7809	1p32.3	chr1:54998933-55017172	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-05-17	MONDO:0011242	
BTD	686	3p25.1	chr3:15601361-15722516	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-05-21	MONDO:0009665	
BTK	695	Xq22.1	chrX:101349450-101390796	3	Sufficient evidence for dosage pathogenicity	16159644	27512878	32169379				0	No evidence available							2021-03-24	MONDO:0010421	
BUB1B	701	15q15.1	chr15:40161069-40221123	30	Gene associated with autosomal recessive phenotype	15475955	16411201	28611924	26658419	27239782		0	No evidence available							2022-02-01	MONDO:0009759	
C19orf12	83636	19q12	chr19:29698886-29715789	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013674	
C1QB	713	1p36.12	chr1:22653236-22661637	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-01-17	MONDO:0013343	
