gene	transcript	UniProt_id	mean_am_pathogenicity	mean_am_pathogenicity_bin	exp_lof	mean_phylop	mean_phylop_bin	oe_lof_upper	oe_lof_upper_bin	loeuf_low_powered
RHOG	ENST00000533217	P84095	0.658779167449862	0	5.3416	3.33266496658325	0	0.887	4	TRUE
GOLGA7	ENST00000357743	Q7Z5G4	0.657461273960989	0	9.9261	1.97425925731659	3	0.634	3	TRUE
SF3B5	ENST00000367569	Q9BWJ5	0.657290912485126	0	2.7131	2.25159549713135	2	1.074	5	TRUE
RPL13	ENST00000393099	P26373	0.657021624093796	0	9.4662	1.18347752094269	6	0.316	1	TRUE
PGAM1	ENST00000334828	P18669	0.657003899168153	0	9.8399	2.49290752410889	2	1.676	8	TRUE
RPL28	ENST00000559463	P46779	0.656466964901469	0	5.0836	2.00756454467773	3	0.589	2	TRUE
DYNLT1	ENST00000367089	P63172	0.656125654917349	0	8.6841	2.56960940361023	2	1.497	7	TRUE
PPIL1	ENST00000373699	Q9Y3C6	0.655840348693625	0	9.5481	1.89112794399261	3	0.812	4	TRUE
ASF1A	ENST00000229595	Q9Y294	0.655005054427248	0	9.7716	2.35298085212708	2	0.485	2	TRUE
SIAH2	ENST00000312960	O43255	0.654112357949618	0	8.091	2.25453162193298	2	0.586	2	TRUE
MRAS	ENST00000474559	O14807	0.653000972524023	0	8.1365	4.41118097305298	0	0.368	1	TRUE
CNIH2	ENST00000311445	Q6PI25	0.652336919543443	0	9.5285	1.88920676708221	3	0.314	1	TRUE
ORAI2	ENST00000473939	Q96SN7	0.65224976600096	0	6.8721	1.2591038942337	5	0.916	4	TRUE
PPP1R14B	ENST00000309318	Q96C90	0.651593810099639	0	5.6776	1.64938938617706	4	1.554	8	TRUE
